"NOM","XL93","YL93","FROM","TO","C10C40_LD","OUT","ECH","EP","ALT","LITHO","GEOLE","CLC","Copernic","GEOBAP","COPER_H2","GEOBAP_H2","GEO_COPER_H2","dist_basias","dist_basol","dist_centre","dist_eau","dist_route","C10C40"
"P36",571859.12,6279097.74,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,205.5747528,530.1419678,2167.162354,696.4194336,30,30
"Z124P3",567509.94,6272441.95,0,0.8,"<",1,"E1",0.8,165,4,2,3,7,8,4,4,42,283.0571899,1895.720337,9648.210938,751.3321533,22.36067963,20
"P182",571615.1,6279281.44,0,0.5,"=",9,"E1",0.5,139,6,3,3,7,8,4,4,41,100.8766403,725.4748535,2369.433594,684.1052246,106.3014603,40
"P33",571864.56,6279157.64,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,165.2978363,590.9424438,2144.065186,640.7027588,20,20
"FGU16",574740.394,6278561.845,0.05,1,"=",1,"E1",0.95,145.0093886,18,6,8,15,3,2,2,21,63.16467667,468.1894226,1303.869263,552.2680664,20,17
"GRAVT1",567854.34,6272233.82,0,0.5,"<",1,"E1",0.5,165,4,2,3,9,8,4,4,42,327.4827881,1544.588257,9578.429688,345.3983154,0,20
"FGU10",571789.216,6275208.975,0.05,1,"<",1,"E1",0.95,146,6,3,2,7,7,4,3,41,193.4368591,942.3554688,4908.464355,224.7220459,14.14213562,10
"P245",571535.51,6279289.05,0,0.6,"<",9,"E1",0.6,139,6,3,3,7,8,4,4,41,148.2177277,757.6451416,2447.355469,726.2230835,138.9244385,20
"Z1P3",567225.93,6272468.29,0,0.6,"=",1,"E1",0.6,165,4,2,3,7,8,4,4,42,239.8771667,1991.337402,9815.94043,1019.509705,44.72135925,20
"Z107P1",567309.29,6272360.79,0,0.5,"<",1,"E1",0.5,165,4,2,3,7,8,4,4,42,139.1569519,2050.738525,9841.955078,908.0198364,41.23105621,20
"TM33",571567.6,6282457.42,0,0.5,"=",9,"E1",0.5,131.5216013,6,3,13,12,4,4,2,41,334.1625061,689.2891235,3723.92627,471.6990662,56.56854248,450
"Z15T2",567353.41,6272488.11,0.5,1.5,"<",1,"E1",1,165,4,2,3,7,8,4,4,42,278.4131165,1912.097656,9712.514648,908.0198364,28.28427124,20
"Z108P3",567410.96,6272282.47,0.5,1.5,"<",1,"E1",1,165.1215981,4,2,3,7,8,4,4,42,161.0511017,1947.371338,9834.080078,790.7591553,40,20
"Z5T2",567412.92,6272334.38,0.3,1.5,"<",1,"E1",1.2,165,4,2,3,7,8,4,4,42,190.9226379,1964.553101,9790.180664,794.0402832,10,20
"TM26",571471.29,6282495.62,0.5,1,"=",1,"E1",0.5,130.9672283,6,3,13,9,4,4,2,41,438.5541992,792.1898193,3811.670654,367.6955261,0,20
"FGU06",575266.281,6282946.153,0.05,1,"<",1,"E1",0.95,137,6,3,2,15,7,2,3,21,96.94687653,1427.136963,3576.460693,1725.862061,80,10
"LC1T1",567594.93,6272333.18,0,0.5,"<",1,"E1",0.5,165,4,2,3,7,8,4,4,42,181.4854736,1813.881226,9670.746094,623.9390869,60.82762527,20
"F2",571520.99,6282479.52,0,0.7,"=",1,"E1",0.7,131.0707686,6,3,13,12,4,4,2,41,387.8935242,742.9241333,3771.496338,417.8516541,44.72135925,40
"Z15T4",567364.41,6272530.92,0.5,1.2,"=",1,"E1",0.7,165,4,2,3,7,8,4,4,42,319.3109131,1871.898315,9676.412109,917.0605469,22.36067963,570
"P49",571830.44,6279221.05,0,0.6,"<",1,"E1",0.6,139,6,3,3,7,8,4,4,41,141.6909943,646.6956787,2171.630127,612.9437256,20,20
"Z132P1",567292.85,6272418.73,0,0.5,"<",1,"E1",0.5,165,4,2,3,7,8,4,4,42,193.3986969,2001.730957,9804.639648,936.3759766,22.36067963,20
"P14",575342.43,6280528.05,0.6,1.2,"=",1,"E1",0.6,147.0094707,15,5,2,7,7,4,3,42,89.38689423,397.6987915,1661.782715,310.1612549,10,75
"Z91P3",567193.52,6273132.35,0.6,1.2,"<",1,"E1",0.6,164,4,2,5,7,8,4,4,42,309.3760986,1476.801636,9368.517578,1421.724365,67.08203888,20
"P72",571787.01,6279184.9,0,0.7,"=",1,"E1",0.7,139,6,3,3,7,8,4,4,41,154.9023438,605.4202881,2218.390381,668.5057983,41.23105621,90
"FGU05",574365.923,6282561.776,0.05,1,"<",1,"E1",0.95,138.4964568,6,3,2,14,7,4,3,41,223.950119,1452.159668,2977.897217,1666.283325,20,10
"Z24T2",567434.85,6272505.06,0.5,1.5,"<",1,"E1",1,165,4,2,3,7,8,4,4,42,325.2049561,1868.368774,9650.908203,841.1896362,20,20
"P218",571564.15,6279165.81,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,230.7710876,625.182312,2438.207275,810.2468872,63.24555206,55
"CUVT1T3",567694.1,6272387.99,0.5,1.5,"<",1,"E1",1,165,4,2,3,7,8,4,4,42,281.1180725,1769.004028,9559.817383,560.8029785,20,20
