N;NOM;XL93;YL93;FROM;TO;C10C40_LD;C10C40;OUT;ECH;EP;ALT;LITHO;GEOLE;CLC;Copernic;GEOBAP;COPER_H2;GEOBAP_H2;GEO_COPER_H2;dist_basias;dist_basol;dist_centre;dist_eau;dist_route
1147;P20;571898.95;6279094.04;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;183.5771637;527.152832;2130.721191;684.7627563;20
1148;P19;571900.61;6279113.93;0;0.5;=;60;1;E1;0.5;139;6;3;3;7;8;4;4;41;168.9892731;546.7238159;2125.932617;667.3080444;36.05551147
1149;P19;571900.61;6279113.93;0.5;1.5;=;85;1;E1;1;139;6;3;3;7;8;4;4;41;168.9892731;546.7238159;2125.932617;667.3080444;36.05551147
1150;P18;571902.58;6279133.73;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;148.0073547;568.3623047;2111.581787;644.9805908;41.23105621
1151;P18;571902.58;6279133.73;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;148.0073547;568.3623047;2111.581787;644.9805908;41.23105621
1152;P17;571904.42;6279153.72;0;0.5;=;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;135.5100555;587.9222412;2107.129395;627.6942139;42.42640686
1153;P17;571904.42;6279153.72;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;135.5100555;587.9222412;2107.129395;627.6942139;42.42640686
1154;P16;571906.22;6279173.68;0;0.5;=;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;124.9791031;607.5107422;2102.85791;610.5734863;31.62277603
1155;P16;571906.22;6279173.68;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;124.9791031;607.5107422;2102.85791;610.5734863;31.62277603
1156;P15;571908.19;6279193.48;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;116.9468994;627.1253052;2098.768311;593.6328735;22.36067963
1157;P15;571908.19;6279193.48;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;116.9468994;627.1253052;2098.768311;593.6328735;22.36067963
1158;P14;571909.85;6279209.48;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;106.1786041;646.7634277;2094.861572;576.8881836;10
1159;P14;571909.85;6279209.48;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;106.1786041;646.7634277;2094.861572;576.8881836;10
1160;P13;571918.78;6279092.07;0;0.8;=;50;1;E1;0.8;139;6;3;3;7;8;4;4;41;171.1273651;531.7086792;2111.330566;674.1661377;10
1161;P13;571918.78;6279092.07;0.8;1.4;=;40;9;E2;0.6;139;6;3;3;7;8;4;4;41;171.1273651;531.7086792;2111.330566;674.1661377;10
1162;P12;571920.79;6279111.96;0;0.7;<;20;1;E1;0.7;139;6;3;3;7;8;4;4;41;155.3749542;551.1179199;2106.497803;657.3431396;22.36067963
1163;P12;571920.79;6279111.96;0.7;1.4;=;20;1;E1;0.7;139;6;3;3;7;8;4;4;41;155.3749542;551.1179199;2106.497803;657.3431396;22.36067963
1164;P11;571922.6;6279131.88;0;0.7;<;20;1;E1;0.7;139;6;3;3;7;8;4;4;41;133.7541656;572.9395752;2092.109375;635.1377563;22.36067963
1165;P11;571922.6;6279131.88;0.7;1.9;<;20;1;E2;1.2;139;6;3;3;7;8;4;4;41;133.7541656;572.9395752;2092.109375;635.1377563;22.36067963
1166;P10;571924.35;6279151.83;0;0.7;<;20;1;E1;0.7;139;6;3;3;7;8;4;4;41;119.778862;592.3483276;2087.615479;617.737793;36.05551147
1167;P10;571924.35;6279151.83;0.7;1.7;<;20;1;E2;1;139;6;3;3;7;8;4;4;41;119.778862;592.3483276;2087.615479;617.737793;36.05551147
1168;GE03;571925.11;6278815.09;0;0.5;=;220;9;E1;0.5;140;6;3;3;7;8;4;4;41;206.4339447;274.2096558;2187.750732;912.3595581;80
1169;GE03;571925.11;6278815.09;1.7;3.2;<;20;1;E3;1.5;140;6;3;3;7;8;4;4;41;206.4339447;274.2096558;2187.750732;912.3595581;80
1170;GE03;571925.11;6278815.09;0.5;1.7;=;25;1;E2;1.2;140;6;3;3;7;8;4;4;41;206.4339447;274.2096558;2187.750732;912.3595581;80
1171;P9;571926.3;6279171.91;0;0.8;<;20;1;E1;0.8;139;6;3;3;7;8;4;4;41;107.7208252;611.795166;2083.303955;600.333252;31.62277603
1172;P9;571926.3;6279171.91;0.8;1.6;<;20;1;E2;0.8;139;6;3;3;7;8;4;4;41;107.7208252;611.795166;2083.303955;600.333252;31.62277603
1173;GE02;571925.95;6278844.43;1.7;3.2;<;20;1;E3;1.5;140;6;3;3;7;8;4;4;41;236.4321747;300.3600159;2176.965332;885.4942017;108.1665421
1174;GE02;571925.95;6278844.43;0;0.5;<;20;1;E1;0.5;140;6;3;3;7;8;4;4;41;236.4321747;300.3600159;2176.965332;885.4942017;108.1665421
1175;GE02;571925.95;6278844.43;0.5;1.7;<;20;1;E2;1.2;140;6;3;3;7;8;4;4;41;236.4321747;300.3600159;2176.965332;885.4942017;108.1665421
1176;P8;571928.36;6279191.62;0;0.7;<;20;9;E1;0.7;139;6;3;3;7;8;4;4;41;98.2882309;631.2766113;2079.175781;583.0952148;14.14213562
1177;P8;571928.36;6279191.62;0.7;1.1;<;20;9;E1;0.4;139;6;3;3;7;8;4;4;41;98.2882309;631.2766113;2079.175781;583.0952148;14.14213562
1178;GE04;571929.05;6278803.71;0;0.5;<;20;1;E1;0.5;140;6;3;3;7;8;4;4;41;196.4346619;265.6737366;2191.425293;921.3034058;70
1179;GE04;571929.05;6278803.71;0.5;1.4;<;20;1;E1;0.9;140;6;3;3;7;8;4;4;41;196.4346619;265.6737366;2191.425293;921.3034058;70
1180;GE04;571929.05;6278803.71;1.4;3.2;<;20;1;E3;1.8;140;6;3;3;7;8;4;4;41;196.4346619;265.6737366;2191.425293;921.3034058;70
1181;GE01;571932.36;6278862.2;0.75;1.35;<;20;1;E1;0.6;140;6;3;3;7;8;4;4;41;256.5325928;322.7149353;2160.594238;863.1338501;113.137085
1182;GE01;571932.36;6278862.2;1.35;3.2;=;100;1;E3;1.85;140;6;3;3;7;8;4;4;41;256.5325928;322.7149353;2160.594238;863.1338501;113.137085
1183;GE01;571932.36;6278862.2;0;0.5;<;20;1;E1;0.5;140;6;3;3;7;8;4;4;41;256.5325928;322.7149353;2160.594238;863.1338501;113.137085
1184;P7;571936.22;6279110.81;0;0.6;<;20;1;E1;0.6;139;6;3;3;7;8;4;4;41;143.2667999;556.1968384;2087.07373;646.3745117;10
1185;P7;571936.22;6279110.81;0.6;1.1;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;143.2667999;556.1968384;2087.07373;646.3745117;10
1186;P6;571942.47;6279130.1;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;121.1370163;578.1727295;2072.646973;624.2595825;10
1187;P6;571942.47;6279130.1;0.5;0.8;<;20;1;E1;0.3;139;6;3;3;7;8;4;4;41;121.1370163;578.1727295;2072.646973;624.2595825;10
1188;P5;571944.38;6279150.22;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;105.5034409;597.4115601;2068.11084;607.4536743;22.36067963
1189;P5;571944.38;6279150.22;0.5;1.5;<;20;9;E1;1;139;6;3;3;7;8;4;4;41;105.5034409;597.4115601;2068.11084;607.4536743;22.36067963
1190;P4;571946.23;6279170.11;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;91.58480072;616.6987305;2063.758545;590.5928955;22.36067963
